house,test_ratio,sampling_ratio,feature_length,accuracy
r2,0.5,1,600,0.408333333333
r2,0.5,1,900,0.121666666667
r2,0.5,1,1800,0.2825
r2,0.5,1,3600,0.736666666667
r2,0.5,5,300,0.567777777778
r2,0.5,5,600,0.623888888889
r2,0.5,5,900,0.502916666667
r2,0.5,5,1800,0.661666666667
r2,0.5,5,3600,0.75
r2,0.5,10,300,0.635138888889
r2,0.5,10,600,0.566666666667
r2,0.5,10,900,0.330416666667
r2,0.5,10,1800,0.511666666667
r2,0.5,10,3600,0.851666666667
r2,0.5,30,300,0.38875
r2,0.5,30,600,0.318611111111
r2,0.5,30,900,0.326666666667
r2,0.5,30,1800,0.495833333333
r2,0.5,30,3600,0.753333333333
r2,0.5,60,300,0.463055555556
r2,0.5,60,600,0.494166666667
r2,0.5,60,900,0.437083333333
r2,0.5,60,1800,0.421666666667
r2,0.5,60,3600,0.878333333333
r2,0.5,300,900,0.83125
r2,0.5,300,1800,0.520833333333
r2,0.5,300,3600,0.698333333333
r2,0.5,600,1800,0.673333333333
r2,0.5,600,3600,0.606666666667
r2,0.5,900,3600,0.681666666667
r2,0.6,1,300,0.0262731481481
r2,0.6,1,600,0.99837962963
r2,0.6,1,900,0.851736111111
r2,0.6,1,1800,0.272916666667
r2,0.6,1,3600,0.831944444444
r2,0.6,5,300,0.563194444444
r2,0.6,5,600,0.879166666667
r2,0.6,5,900,0.753819444444
r2,0.6,5,1800,0.746527777778
r2,0.6,5,3600,0.775
r2,0.6,10,300,0.441782407407
r2,0.6,10,600,0.849537037037
r2,0.6,10,900,0.729861111111
r2,0.6,10,1800,0.511805555556
r2,0.6,10,3600,0.648611111111
r2,0.6,30,300,0.397569444444
r2,0.6,30,600,0.676388888889
r2,0.6,30,900,0.816666666667
r2,0.6,30,1800,0.370138888889
r2,0.6,30,3600,0.851388888889
r2,0.6,60,300,0.421527777778
r2,0.6,60,600,0.632175925926
r2,0.6,60,900,0.748263888889
r2,0.6,60,1800,0.446527777778
r2,0.6,60,3600,0.623611111111
r2,0.6,300,900,0.621180555556
r2,0.6,300,1800,0.407638888889
r2,0.6,300,3600,0.658333333333
r2,0.6,600,1800,0.478472222222
r2,0.6,600,3600,0.740277777778
r2,0.6,900,3600,0.816666666667
r2,0.7,1,300,0.194543650794
r2,0.7,1,600,0.220634920635
r2,0.7,1,900,0.808035714286
r2,0.7,1,1800,0.259523809524
r2,0.7,1,3600,0.97380952381
r2,0.7,5,300,0.767857142857
r2,0.7,5,600,0.628968253968
r2,0.7,5,900,0.691964285714
r2,0.7,5,1800,0.744047619048
r2,0.7,5,3600,0.761904761905
r2,0.7,10,300,0.580853174603
r2,0.7,10,600,0.732936507937
r2,0.7,10,900,0.700297619048
r2,0.7,10,1800,0.506547619048
r2,0.7,10,3600,0.683333333333
r2,0.7,30,300,0.397619047619
r2,0.7,30,600,0.312301587302
